produced_ts_epoch_ms,call_ts_epoch_ms,module,event,thread_id,cam_frame_id,cam_exposure_ms,cam_isp_latency_ms,cam_buffer_usage_percent,image_proc_ms,tpu_inference_ms,tpu_temp_c,tpu_model_score,tpu_class_id,logic_target_dist_m,logic_ballistic_drop_m,logic_windage_m,logic_servo_x_cmd,logic_servo_y_cmd,logic_solution_time_ms,enc_process_ms,enc_bitrate_mbps,enc_queue_depth,sys_cpu_temp_c,sys_cpu_usage_pct,sys_ram_usage_pct,sys_voltage_v
12253,12253,ImageProcessor_TPU,frame_processed,0,349,7,0.736767,75,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12259,12260,ImageProcessor_Viz,frame_processed,0,349,7,0.332802,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12272,12273,InferenceEngine,inference_complete,0,349,NaN,NaN,NaN,1,18.958,40.8,0.909793,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12272,12250,Logic,frame_complete,-268457733656721424,349,7,0.736767,75,1,19,40.8,0.909793,12,1.53019,-0.0187808,0.000335108,0.490167,0.417101,33.749,0,0,0,65,26.3903,53.4195,0
12284,12285,CameraCapture,frame_captured,0,350,7,0.238188,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12285,12286,ImageProcessor_TPU,frame_processed,0,350,7,0.892367,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12292,12293,ImageProcessor_Viz,frame_processed,0,350,7,0.344006,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12304,12305,InferenceEngine,inference_complete,0,350,NaN,NaN,NaN,0,18.673,40.8,0.921557,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12305,12283,Logic,frame_complete,-268457733656721424,350,7,0.892367,75,0,19,40.8,0.921557,13,1.53019,-0.0185321,-0.000475813,0.48818,0.417149,32.297,0,0,0,65,26.3903,53.4195,0
12317,12318,CameraCapture,frame_captured,0,351,7,0.234044,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12318,12319,ImageProcessor_TPU,frame_processed,0,351,7,0.88887,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12325,12326,ImageProcessor_Viz,frame_processed,0,351,7,0.352321,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12338,12338,InferenceEngine,inference_complete,0,351,NaN,NaN,NaN,0,18.908,40.8,0.921557,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12338,12316,Logic,frame_complete,-268457733656721424,351,7,0.88887,75,0,18,40.8,0.921557,13,1.53773,-0.018319,0.000517763,0.490205,0.418059,33.348,0,0,0,65,26.3903,53.4195,0
12352,12353,CameraCapture,frame_captured,0,352,7,0.147793,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12353,12354,ImageProcessor_TPU,frame_processed,0,352,7,0.764119,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12360,12360,ImageProcessor_Viz,frame_processed,0,352,7,0.334191,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12372,12373,InferenceEngine,inference_complete,0,352,NaN,NaN,NaN,0,18.653,40.8,0.909793,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12372,12351,Logic,frame_complete,-268457733656721424,352,7,0.764119,75,0,19,40.8,0.909793,12,1.53773,-0.018823,-0.000210553,0.490054,0.417111,34.206,0,0,0,65,26.3903,53.4195,0
12384,12385,CameraCapture,frame_captured,0,353,7,0.149952,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12386,12387,ImageProcessor_TPU,frame_processed,0,353,7,0.800742,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
