produced_ts_epoch_ms,call_ts_epoch_ms,module,event,thread_id,cam_frame_id,cam_exposure_ms,cam_isp_latency_ms,cam_buffer_usage_percent,image_proc_ms,tpu_inference_ms,tpu_temp_c,tpu_model_score,tpu_class_id,logic_target_dist_m,logic_ballistic_drop_m,logic_windage_m,logic_servo_x_cmd,logic_servo_y_cmd,logic_solution_time_ms,enc_process_ms,enc_bitrate_mbps,enc_queue_depth,sys_cpu_temp_c,sys_cpu_usage_pct,sys_ram_usage_pct,sys_voltage_v
414,174,SystemMonitor,system_stats,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.7,26.4151,63.3257,0
578,338,CameraCapture,frame_captured,0,0,7,0.212706,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
608,368,CameraCapture,frame_captured,0,1,7,0.252826,0.666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
641,401,CameraCapture,frame_captured,0,2,7,0.14266,1.33333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
654,414,ImageProcessor_TPU,frame_processed,0,0,7,0.761238,0.666667,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
654,414,ImageProcessor_TPU,frame_processed,0,1,7,0.782283,1.33333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
654,414,ImageProcessor_TPU,frame_processed,0,2,7,0.686136,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
676,436,CameraCapture,frame_captured,0,3,7,0.321482,2.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
677,437,ImageProcessor_TPU,frame_processed,0,3,7,0.873532,3.33333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
693,453,InferenceEngine,inference_complete,0,0,NaN,NaN,NaN,3,34.83,0,0.537248,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
693,579,Logic,frame_complete,-2770583965329718499,0,7,0.761238,0.666667,3,35,0,0.537248,13,0,0,0,0.5,0.5,0,0,0,0,50.7,26.4151,63.3257,0
697,457,ImageProcessor_Viz,frame_processed,0,0,7,0.340811,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
706,466,ImageProcessor_Viz,frame_processed,0,1,7,0.323034,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714,474,ImageProcessor_Viz,frame_processed,0,2,7,0.332867,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
721,481,CameraCapture,frame_captured,0,4,7,3.69054,4.33333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
722,482,ImageProcessor_TPU,frame_processed,0,4,7,4.31052,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
722,482,InferenceEngine,inference_complete,0,1,NaN,NaN,NaN,1,29.302,0,0.576463,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
723,609,Logic,frame_complete,-2770583965329718499,1,7,0.782283,1.33333,1,29,0,0.576463,13,0,0,0,0.5,0.5,0,0,0,0,50.7,26.4151,63.3257,0
724,484,ImageProcessor_Viz,frame_processed,0,3,7,0.341348,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
731,491,ImageProcessor_Viz,frame_processed,0,4,7,0.392348,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
741,501,CameraCapture,frame_captured,0,5,7,0.548101,5.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
742,502,InferenceEngine,inference_complete,0,2,NaN,NaN,NaN,0,19.64,0,0.647051,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
