produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765476550098,CameraCapture,520472000761713998,main_frame_processed,1765476549812,0,1536,864,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550098,CameraCapture,520472000761713998,tpu_frame_processed,1765476549812,0,300,300,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550132,CameraCapture,520472000761713998,main_frame_processed,1765476549847,1,1536,864,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550132,CameraCapture,520472000761713998,tpu_frame_processed,1765476549847,1,300,300,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550165,CameraCapture,520472000761713998,main_frame_processed,1765476549880,2,1536,864,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550165,CameraCapture,520472000761713998,tpu_frame_processed,1765476549880,2,300,300,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550197,CameraCapture,520472000761713998,main_frame_processed,1765476549912,3,1536,864,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550197,CameraCapture,520472000761713998,tpu_frame_processed,1765476549912,3,300,300,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550234,CameraCapture,520472000761713998,main_frame_processed,1765476549947,4,1536,864,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550235,CameraCapture,520472000761713998,tpu_frame_processed,1765476549947,4,300,300,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550301,CameraCapture,520472000761713998,main_frame_processed,1765476550013,5,1536,864,66,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550302,CameraCapture,520472000761713998,tpu_frame_processed,1765476550013,5,300,300,66,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550368,CameraCapture,520472000761713998,main_frame_processed,1765476550080,6,1536,864,66,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550369,CameraCapture,520472000761713998,tpu_frame_processed,1765476550080,6,300,300,66,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550432,CameraCapture,520472000761713998,main_frame_processed,1765476550148,7,1536,864,66,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550433,CameraCapture,520472000761713998,tpu_frame_processed,1765476550148,7,300,300,66,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
1765476550499,CameraCapture,520472000761713998,main_frame_processed,1765476550215,8,1536,864,66,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
