produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440147809,CameraCapture,-4812358233838174475,frame_captured,53569007,{"width":1536, "height":864}
1765440147842,CameraCapture,-4812358233838174475,frame_captured,53569040,{"width":1536, "height":864}
1765440147876,CameraCapture,-4812358233838174475,frame_captured,53569074,{"width":1536, "height":864}
1765440147909,CameraCapture,-4812358233838174475,frame_captured,53569107,{"width":1536, "height":864}
1765440147945,CameraCapture,-4812358233838174475,frame_captured,53569140,{"width":1536, "height":864}
1765440148010,CameraCapture,-4812358233838174475,frame_captured,53569208,{"width":1536, "height":864}
1765440148077,CameraCapture,-4812358233838174475,frame_captured,53569275,{"width":1536, "height":864}
1765440148144,CameraCapture,-4812358233838174475,frame_captured,53569342,{"width":1536, "height":864}
1765440148211,CameraCapture,-4812358233838174475,frame_captured,53569409,{"width":1536, "height":864}
1765440148277,CameraCapture,-4812358233838174475,frame_captured,53569476,{"width":1536, "height":864}
1765440148344,CameraCapture,-4812358233838174475,frame_captured,53569543,{"width":1536, "height":864}
1765440148412,CameraCapture,-4812358233838174475,frame_captured,53569610,{"width":1536, "height":864}
1765440148478,CameraCapture,-4812358233838174475,frame_captured,53569677,{"width":1536, "height":864}
1765440148548,CameraCapture,-4812358233838174475,frame_captured,53569744,{"width":1536, "height":864}
1765440148613,CameraCapture,-4812358233838174475,frame_captured,53569811,{"width":1536, "height":864}
1765440148680,CameraCapture,-4812358233838174475,frame_captured,53569879,{"width":1536, "height":864}
1765440148747,CameraCapture,-4812358233838174475,frame_captured,53569946,{"width":1536, "height":864}
1765440148814,CameraCapture,-4812358233838174475,frame_captured,53570013,{"width":1536, "height":864}
1765440148881,CameraCapture,-4812358233838174475,frame_captured,53570080,{"width":1536, "height":864}
1765440148949,CameraCapture,-4812358233838174475,frame_captured,53570147,{"width":1536, "height":864}
1765440149017,CameraCapture,-4812358233838174475,frame_captured,53570214,{"width":1536, "height":864}
1765440149082,CameraCapture,-4812358233838174475,frame_captured,53570281,{"width":1536, "height":864}
1765440149149,CameraCapture,-4812358233838174475,frame_captured,53570348,{"width":1536, "height":864}
1765440149217,CameraCapture,-4812358233838174475,frame_captured,53570415,{"width":1536, "height":864}
1765440149292,CameraCapture,-4812358233838174475,frame_captured,53570482,{"width":1536, "height":864}
1765440149355,CameraCapture,-4812358233838174475,frame_captured,53570549,{"width":1536, "height":864}
1765440149418,CameraCapture,-4812358233838174475,frame_captured,53570617,{"width":1536, "height":864}
1765440149485,CameraCapture,-4812358233838174475,frame_captured,53570684,{"width":1536, "height":864}
1765440149552,CameraCapture,-4812358233838174475,frame_captured,53570751,{"width":1536, "height":864}
1765440149620,CameraCapture,-4812358233838174475,frame_captured,53570818,{"width":1536, "height":864}
1765440149686,CameraCapture,-4812358233838174475,frame_captured,53570885,{"width":1536, "height":864}
1765440149754,CameraCapture,-4812358233838174475,frame_captured,53570952,{"width":1536, "height":864}
