produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440679371,CameraCapture,-2910330649971625320,frame_captured,54100569,{"width":1536, "height":864}
1765440679439,CameraCapture,-2910330649971625320,frame_captured,54100636,{"width":1536, "height":864}
1765440679504,CameraCapture,-2910330649971625320,frame_captured,54100703,{"width":1536, "height":864}
1765440679572,CameraCapture,-2910330649971625320,frame_captured,54100770,{"width":1536, "height":864}
1765440679640,CameraCapture,-2910330649971625320,frame_captured,54100837,{"width":1536, "height":864}
1765440679706,CameraCapture,-2910330649971625320,frame_captured,54100904,{"width":1536, "height":864}
1765440679773,CameraCapture,-2910330649971625320,frame_captured,54100971,{"width":1536, "height":864}
1765440679840,CameraCapture,-2910330649971625320,frame_captured,54101038,{"width":1536, "height":864}
1765440679907,CameraCapture,-2910330649971625320,frame_captured,54101105,{"width":1536, "height":864}
1765440679928,CameraCapture,-9018811509794563686,PerformanceMetrics,0,{"p50_latency_ms":2.000,"p95_latency_ms":2.000,"p99_latency_ms":3.000,"average_fps":509.677,"total_frames_processed":79,"average_latency_ms":1.962}
1765440679974,CameraCapture,-2910330649971625320,frame_captured,54101172,{"width":1536, "height":864}
1765440680041,CameraCapture,-2910330649971625320,frame_captured,54101240,{"width":1536, "height":864}
1765440680109,CameraCapture,-2910330649971625320,frame_captured,54101307,{"width":1536, "height":864}
1765440680176,CameraCapture,-2910330649971625320,frame_captured,54101374,{"width":1536, "height":864}
1765440680243,CameraCapture,-2910330649971625320,frame_captured,54101441,{"width":1536, "height":864}
1765440680309,CameraCapture,-2910330649971625320,frame_captured,54101508,{"width":1536, "height":864}
1765440680378,CameraCapture,-2910330649971625320,frame_captured,54101575,{"width":1536, "height":864}
1765440680444,CameraCapture,-2910330649971625320,frame_captured,54101642,{"width":1536, "height":864}
1765440680511,CameraCapture,-2910330649971625320,frame_captured,54101709,{"width":1536, "height":864}
1765440680577,CameraCapture,-2910330649971625320,frame_captured,54101776,{"width":1536, "height":864}
1765440680646,CameraCapture,-2910330649971625320,frame_captured,54101843,{"width":1536, "height":864}
1765440680715,CameraCapture,-2910330649971625320,frame_captured,54101911,{"width":1536, "height":864}
1765440680780,CameraCapture,-2910330649971625320,frame_captured,54101978,{"width":1536, "height":864}
1765440680847,CameraCapture,-2910330649971625320,frame_captured,54102045,{"width":1536, "height":864}
1765440680914,CameraCapture,-2910330649971625320,frame_captured,54102112,{"width":1536, "height":864}
1765440680981,CameraCapture,-2910330649971625320,frame_captured,54102179,{"width":1536, "height":864}
1765440681050,CameraCapture,-2910330649971625320,frame_captured,54102246,{"width":1536, "height":864}
1765440681115,CameraCapture,-2910330649971625320,frame_captured,54102313,{"width":1536, "height":864}
1765440681182,CameraCapture,-2910330649971625320,frame_captured,54102380,{"width":1536, "height":864}
1765440681252,CameraCapture,-2910330649971625320,frame_captured,54102447,{"width":1536, "height":864}
1765440681317,CameraCapture,-2910330649971625320,frame_captured,54102514,{"width":1536, "height":864}
1765440681384,CameraCapture,-2910330649971625320,frame_captured,54102582,{"width":1536, "height":864}
1765440681452,CameraCapture,-2910330649971625320,frame_captured,54102649,{"width":1536, "height":864}
1765440681519,CameraCapture,-2910330649971625320,frame_captured,54102716,{"width":1536, "height":864}
1765440681586,CameraCapture,-2910330649971625320,frame_captured,54102783,{"width":1536, "height":864}
1765440681651,CameraCapture,-2910330649971625320,frame_captured,54102850,{"width":1536, "height":864}
