produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440674855,H264Encoder,-8790499271367974815,encode_done,54096007,{"encode_ms":9}
1765440674871,H264Encoder,-8790499271367974815,encode_done,54096040,{"encode_ms":13}
1765440674897,H264Encoder,-8790499271367974815,encode_done,54096074,{"encode_ms":12}
1765440674927,H264Encoder,-8790499271367974815,encode_done,54096107,{"encode_ms":7}
1765440674959,H264Encoder,-8790499271367974815,encode_done,54096140,{"encode_ms":8}
1765440675040,H264Encoder,-8790499271367974815,encode_done,54096207,{"encode_ms":14}
1765440675097,H264Encoder,-8790499271367974815,encode_done,54096274,{"encode_ms":14}
1765440675168,H264Encoder,-8790499271367974815,encode_done,54096341,{"encode_ms":14}
1765440675232,H264Encoder,-8790499271367974815,encode_done,54096409,{"encode_ms":11}
1765440675304,H264Encoder,-8790499271367974815,encode_done,54096476,{"encode_ms":18}
1765440675381,H264Encoder,-8790499271367974815,encode_done,54096543,{"encode_ms":25}
1765440675435,H264Encoder,-8790499271367974815,encode_done,54096610,{"encode_ms":12}
1765440675492,H264Encoder,-8790499271367974815,encode_done,54096677,{"encode_ms":9}
1765440675564,H264Encoder,-8790499271367974815,encode_done,54096744,{"encode_ms":9}
1765440675635,H264Encoder,-8790499271367974815,encode_done,54096811,{"encode_ms":8}
1765440675697,H264Encoder,-8790499271367974815,encode_done,54096878,{"encode_ms":9}
1765440675768,H264Encoder,-8790499271367974815,encode_done,54096945,{"encode_ms":9}
1765440675830,H264Encoder,-8790499271367974815,encode_done,54097012,{"encode_ms":9}
1765440675902,H264Encoder,-8790499271367974815,encode_done,54097080,{"encode_ms":9}
1765440675964,H264Encoder,-8790499271367974815,encode_done,54097147,{"encode_ms":9}
1765440676036,H264Encoder,-8790499271367974815,encode_done,54097214,{"encode_ms":8}
1765440676097,H264Encoder,-8790499271367974815,encode_done,54097281,{"encode_ms":9}
1765440676171,H264Encoder,-8790499271367974815,encode_done,54097348,{"encode_ms":8}
1765440676233,H264Encoder,-8790499271367974815,encode_done,54097415,{"encode_ms":9}
1765440676305,H264Encoder,-8790499271367974815,encode_done,54097482,{"encode_ms":8}
1765440676368,H264Encoder,-8790499271367974815,encode_done,54097549,{"encode_ms":10}
1765440676447,H264Encoder,-8790499271367974815,encode_done,54097616,{"encode_ms":12}
1765440676511,H264Encoder,-8790499271367974815,encode_done,54097683,{"encode_ms":9}
1765440676574,H264Encoder,-8790499271367974815,encode_done,54097751,{"encode_ms":9}
1765440676636,H264Encoder,-8790499271367974815,encode_done,54097818,{"encode_ms":10}
1765440676711,H264Encoder,-8790499271367974815,encode_done,54097885,{"encode_ms":12}
1765440676774,H264Encoder,-8790499271367974815,encode_done,54097952,{"encode_ms":10}
1765440676838,H264Encoder,-8790499271367974815,encode_done,54098019,{"encode_ms":10}
1765440676911,H264Encoder,-8790499271367974815,encode_done,54098086,{"encode_ms":10}
1765440676974,H264Encoder,-8790499271367974815,encode_done,54098153,{"encode_ms":10}
1765440677048,H264Encoder,-8790499271367974815,encode_done,54098220,{"encode_ms":10}
1765440677111,H264Encoder,-8790499271367974815,encode_done,54098287,{"encode_ms":10}
1765440677176,H264Encoder,-8790499271367974815,encode_done,54098354,{"encode_ms":10}
1765440677239,H264Encoder,-8790499271367974815,encode_done,54098421,{"encode_ms":10}
1765440677313,H264Encoder,-8790499271367974815,encode_done,54098489,{"encode_ms":10}
1765440677379,H264Encoder,-8790499271367974815,encode_done,54098556,{"encode_ms":10}
1765440677442,H264Encoder,-8790499271367974815,encode_done,54098623,{"encode_ms":10}
1765440677521,H264Encoder,-8790499271367974815,encode_done,54098690,{"encode_ms":10}
1765440677575,H264Encoder,-8790499271367974815,encode_done,54098757,{"encode_ms":10}
1765440677657,H264Encoder,-8790499271367974815,encode_done,54098824,{"encode_ms":17}
1765440677714,H264Encoder,-8790499271367974815,encode_done,54098891,{"encode_ms":11}
1765440677790,H264Encoder,-8790499271367974815,encode_done,54098958,{"encode_ms":18}
1765440677850,H264Encoder,-8790499271367974815,encode_done,54099025,{"encode_ms":10}
1765440677912,H264Encoder,-8790499271367974815,encode_done,54099092,{"encode_ms":10}
1765440677985,H264Encoder,-8790499271367974815,encode_done,54099160,{"encode_ms":9}
1765440678049,H264Encoder,-8790499271367974815,encode_done,54099227,{"encode_ms":10}
1765440678112,H264Encoder,-8790499271367974815,encode_done,54099294,{"encode_ms":10}
1765440678185,H264Encoder,-8790499271367974815,encode_done,54099361,{"encode_ms":10}
1765440678248,H264Encoder,-8790499271367974815,encode_done,54099428,{"encode_ms":10}
1765440678321,H264Encoder,-8790499271367974815,encode_done,54099495,{"encode_ms":10}
1765440678386,H264Encoder,-8790499271367974815,encode_done,54099562,{"encode_ms":10}
1765440678450,H264Encoder,-8790499271367974815,encode_done,54099629,{"encode_ms":10}
1765440678514,H264Encoder,-8790499271367974815,encode_done,54099696,{"encode_ms":10}
1765440678586,H264Encoder,-8790499271367974815,encode_done,54099763,{"encode_ms":9}
1765440678649,H264Encoder,-8790499271367974815,encode_done,54099831,{"encode_ms":10}
1765440678722,H264Encoder,-8790499271367974815,encode_done,54099898,{"encode_ms":10}
1765440678786,H264Encoder,-8790499271367974815,encode_done,54099965,{"encode_ms":10}
1765440678851,H264Encoder,-8790499271367974815,encode_done,54100032,{"encode_ms":11}
1765440678925,H264Encoder,-8790499271367974815,encode_done,54100099,{"encode_ms":10}
1765440678991,H264Encoder,-8790499271367974815,encode_done,54100166,{"encode_ms":10}
1765440679058,H264Encoder,-8790499271367974815,encode_done,54100233,{"encode_ms":10}
1765440679122,H264Encoder,-8790499271367974815,encode_done,54100300,{"encode_ms":10}
1765440679185,H264Encoder,-8790499271367974815,encode_done,54100367,{"encode_ms":10}
1765440679261,H264Encoder,-8790499271367974815,encode_done,54100434,{"encode_ms":10}
1765440679330,H264Encoder,-8790499271367974815,encode_done,54100501,{"encode_ms":10}
1765440679393,H264Encoder,-8790499271367974815,encode_done,54100569,{"encode_ms":10}
1765440679460,H264Encoder,-8790499271367974815,encode_done,54100636,{"encode_ms":11}
1765440679523,H264Encoder,-8790499271367974815,encode_done,54100703,{"encode_ms":11}
1765440679597,H264Encoder,-8790499271367974815,encode_done,54100770,{"encode_ms":11}
1765440679660,H264Encoder,-8790499271367974815,encode_done,54100837,{"encode_ms":10}
1765440679723,H264Encoder,-8790499271367974815,encode_done,54100904,{"encode_ms":10}
1765440679795,H264Encoder,-8790499271367974815,encode_done,54100971,{"encode_ms":10}
1765440679888,H264Encoder,-8790499271367974815,encode_done,54101038,{"encode_ms":10}
1765440679931,H264Encoder,-9018811509794563686,PerformanceMetrics,0,{"p50_latency_ms":10.000,"p95_latency_ms":17.000,"p99_latency_ms":25.000,"average_fps":95.122,"total_encoded_frames":78,"average_latency_ms":10.513}
1765440679932,H264Encoder,-8790499271367974815,encode_done,54101105,{"encode_ms":10}
1765440679994,H264Encoder,-8790499271367974815,encode_done,54101172,{"encode_ms":10}
1765440680059,H264Encoder,-8790499271367974815,encode_done,54101240,{"encode_ms":11}
1765440680133,H264Encoder,-8790499271367974815,encode_done,54101307,{"encode_ms":10}
1765440680196,H264Encoder,-8790499271367974815,encode_done,54101374,{"encode_ms":8}
1765440680257,H264Encoder,-8790499271367974815,encode_done,54101441,{"encode_ms":9}
1765440680332,H264Encoder,-8790499271367974815,encode_done,54101508,{"encode_ms":10}
1765440680398,H264Encoder,-8790499271367974815,encode_done,54101575,{"encode_ms":12}
1765440680469,H264Encoder,-8790499271367974815,encode_done,54101642,{"encode_ms":16}
1765440680536,H264Encoder,-8790499271367974815,encode_done,54101709,{"encode_ms":12}
1765440680601,H264Encoder,-8790499271367974815,encode_done,54101776,{"encode_ms":11}
1765440680665,H264Encoder,-8790499271367974815,encode_done,54101843,{"encode_ms":11}
1765440680738,H264Encoder,-8790499271367974815,encode_done,54101911,{"encode_ms":10}
1765440680803,H264Encoder,-8790499271367974815,encode_done,54101978,{"encode_ms":10}
1765440680865,H264Encoder,-8790499271367974815,encode_done,54102045,{"encode_ms":10}
1765440680938,H264Encoder,-8790499271367974815,encode_done,54102112,{"encode_ms":9}
1765440681003,H264Encoder,-8790499271367974815,encode_done,54102179,{"encode_ms":10}
1765440681072,H264Encoder,-8790499271367974815,encode_done,54102246,{"encode_ms":11}
1765440681138,H264Encoder,-8790499271367974815,encode_done,54102313,{"encode_ms":12}
1765440681207,H264Encoder,-8790499271367974815,encode_done,54102380,{"encode_ms":11}
1765440681272,H264Encoder,-8790499271367974815,encode_done,54102447,{"encode_ms":11}
