produced_ts_epoch_ms,call_ts_epoch_ms,module,event,thread_id,cam_frame_id,cam_exposure_ms,cam_isp_latency_ms,cam_buffer_usage_percent,image_proc_ms,tpu_inference_ms,tpu_temp_c,tpu_model_score,tpu_class_id,logic_target_dist_m,logic_ballistic_drop_m,logic_windage_m,logic_servo_x_cmd,logic_servo_y_cmd,logic_solution_time_ms,enc_process_ms,enc_bitrate_mbps,enc_queue_depth,sys_cpu_temp_c,sys_cpu_usage_pct,sys_ram_usage_pct,sys_voltage_v
433,235,SystemMonitor,system_stats,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.6,26.3158,71.6853,0
597,400,CameraCapture,frame_captured,0,0,7,0.209425,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
627,430,CameraCapture,frame_captured,0,1,7,0.255414,0.666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
660,463,CameraCapture,frame_captured,0,2,7,0.243614,1.33333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
673,476,ImageProcessor_TPU,frame_processed,0,0,7,0.750631,0.666667,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
674,477,ImageProcessor_TPU,frame_processed,0,1,7,0.790046,1.33333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
675,477,ImageProcessor_TPU,frame_processed,0,2,7,0.787246,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
701,503,CameraCapture,frame_captured,0,3,7,0.194242,2.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,511,ImageProcessor_TPU,frame_processed,0,3,7,0.881449,3.33333,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,511,InferenceEngine,inference_complete,0,0,NaN,NaN,NaN,4,33.187,0,0.98038,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
709,597,Logic,frame_complete,-6780280292807741549,0,7,0.750631,0.666667,4,33,0,0.98038,12,2.72474,-0.320455,0.903084,0.5,0.5,38.028,0,0,0,38.6,26.3158,71.6853,0
719,522,ImageProcessor_Viz,frame_processed,0,0,7,0.333909,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
730,532,ImageProcessor_Viz,frame_processed,0,1,7,0.327946,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
732,534,InferenceEngine,inference_complete,0,1,NaN,NaN,NaN,1,22.658,0,0.972537,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
733,535,CameraCapture,frame_captured,0,4,7,2.31905,3.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
735,538,ImageProcessor_TPU,frame_processed,0,4,7,3.90634,4.33333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
735,627,Logic,frame_complete,-6780280292807741549,1,7,0.790046,1.33333,1,23,0,0.972537,12,2.74907,-0.000603527,-0.000820518,0.398041,0.536298,26.209,0,0,0,38.6,26.3158,71.6853,0
739,542,ImageProcessor_Viz,frame_processed,0,2,7,0.32989,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
749,551,ImageProcessor_Viz,frame_processed,0,3,7,0.468595,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
752,555,InferenceEngine,inference_complete,0,2,NaN,NaN,NaN,0,20.443,0,0.921557,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
755,660,Logic,frame_complete,-6780280292807741549,2,7,0.787246,2,0,20,0,0.921557,13,2.76559,-0.000517964,-0.000825405,0.398041,0.535707,19.555,0,0,0,38.6,26.3158,71.6853,0
757,560,ImageProcessor_Viz,frame_processed,0,4,7,1.14486,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
763,565,CameraCapture,frame_captured,0,5,7,1.80809,5.33333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
766,569,ImageProcessor_TPU,frame_processed,0,5,7,4.46866,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
771,574,ImageProcessor_Viz,frame_processed,0,5,7,0.372446,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
773,576,InferenceEngine,inference_complete,0,3,NaN,NaN,NaN,7,19.926,0,0.921557,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
776,700,Logic,frame_complete,-6780280292807741549,3,7,0.881449,3.33333,7,20,0,0.921557,13,2.79828,-0.000646204,-0.00083518,0.398041,0.534523,20.36,0,0,0,38.6,26.3158,71.6853,0
791,594,InferenceEngine,inference_complete,0,4,NaN,NaN,NaN,1,18.01,0,0.909793,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
793,732,Logic,frame_complete,-6780280292807741549,4,7,3.90634,4.33333,1,18,0,0.909793,13,2.84426,-0.000588745,-0.000848889,0.398041,0.532929,17.123,0,0,0,38.6,26.3158,71.6853,0
793,596,CameraCapture,frame_captured,0,6,7,0.281379,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
794,597,ImageProcessor_TPU,frame_processed,0,6,7,1.29225,6.66667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
801,604,ImageProcessor_Viz,frame_processed,0,6,7,0.345668,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
810,613,InferenceEngine,inference_complete,0,5,NaN,NaN,NaN,1,18.852,0,0.909793,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
812,762,Logic,frame_complete,-6780280292807741549,5,7,4.46866,6,1,19,0,0.909793,13,2.90497,-0.000594288,-0.000867009,0.398041,0.530891,19.336,0,0,0,38.6,26.3158,71.6853,0
826,629,CameraCapture,frame_captured,0,7,7,0.299859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
