produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765656492531,LogicModule,6181432120484251022,logic_cycle_done,1765656492528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492581,LogicModule,6181432120484251022,logic_cycle_done,1765656492578,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492632,LogicModule,6181432120484251022,logic_cycle_done,1765656492632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492683,LogicModule,6181432120484251022,logic_cycle_done,1765656492682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492733,LogicModule,6181432120484251022,logic_cycle_done,1765656492729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492814,LogicModule,6181432120484251022,logic_cycle_done,1765656492805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492884,LogicModule,6181432120484251022,logic_cycle_done,1765656492880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656492985,LogicModule,6181432120484251022,logic_cycle_done,1765656492983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493045,LogicModule,6181432120484251022,logic_cycle_done,1765656493040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493095,LogicModule,6181432120484251022,logic_cycle_done,1765656493087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493297,LogicModule,6181432120484251022,logic_cycle_done,1765656493287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493388,LogicModule,6181432120484251022,logic_cycle_done,1765656493386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493448,LogicModule,6181432120484251022,logic_cycle_done,1765656493443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765656493498,LogicModule,6181432120484251022,logic_cycle_done,1765656493491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,
