top - 07:32:46 up 13:23,  4 users,  load average: 0.62, 1.04, 1.00
Tasks: 196 total,   1 running, 195 sleeping,   0 stopped,   0 zombie
%Cpu(s): 33.3 us,  0.0 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3991.9 total,   2059.0 free,    859.2 used,   1153.7 buff/cache     
MiB Swap:    512.0 total,    302.0 free,    210.0 used.   3132.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    378 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/173+
    379 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/174+
    380 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cec-vc4+
    381 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/175+
    385 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/176+
    425 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/178+
    426 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/179+
    427 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cec-vc4+
    432 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/180+
    436 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/181+
    441 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    442 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    443 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    444 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    445 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    462 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/200+
    468 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    474 root      20   0       0      0      0 S   0.0   0.0   0:01.73 brcmf_w+
    574 systemd+  20   0   90708   6272   6016 S   0.0   0.2   0:00.16 systemd+
    591 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    640 root      20   0  238420   7484   6076 S   0.0   0.2   0:00.38 account+
    642 avahi     20   0    7360   2944   2688 S   0.0   0.1   0:00.04 avahi-d+
    643 root      20   0   13324   3712   3712 S   0.0   0.1   0:00.02 bluetoo+
    644 root      20   0    6692   2432   2304 S   0.0   0.1   0:00.03 cron
    645 message+  20   0    9732   4480   3200 S   0.0   0.1   0:00.88 dbus-da+
    650 polkitd   20   0  310892   7476   6196 S   0.0   0.2   0:00.16 polkitd
    660 root      20   0   33956   6912   6272 S   0.0   0.2   0:00.17 systemd+
    665 nobody    20   0    5828   2432   2304 S   0.0   0.1   0:00.13 thd
    673 root      20   0  396204   8692   7668 S   0.0   0.2   0:00.06 udisksd
    680 avahi     20   0    7180   1308   1024 S   0.0   0.0   0:00.00 avahi-d+
    781 root      20   0  262868  17036  14732 S   0.0   0.4   0:01.96 Network+
    786 root      20   0   17284   7936   7424 S   0.0   0.2   0:00.13 wpa_sup+
    799 root      20   0  249716   6544   6032 S   0.0   0.2   0:00.05 ModemMa+
    819 vnc       20   0    2328   1280   1280 S   0.0   0.0   0:00.00 sh
    831 root      20   0  307420   6196   5428 S   0.0   0.2   0:00.05 lightdm
    839 vnc       20   0  423856  14848  14592 S   0.0   0.4   0:00.14 wayvnc
    852 root      20   0   16460   7296   7040 S   0.0   0.2   0:00.01 sshd
    864 root      20   0    7496   2944   2688 S   0.0   0.1   0:00.01 login
    870 root      20   0  162244   6656   6016 S   0.0   0.2   0:00.01 lightdm
    871 root      20   0    5252   2048   1920 S   0.0   0.1   0:00.07 agetty
    882 pi        20   0   20052   8704   8448 S   0.0   0.2   0:00.12 systemd
    883 pi        20   0   22852   3456   1664 S   0.0   0.1   0:00.00 (sd-pam)
    902 pi         9 -11  111784   5248   4992 S   0.0   0.1   0:00.02 pipewire
    903 pi        20   0   87372   3200   3072 S   0.0   0.1   0:00.00 pipewire
    904 pi         9 -11  464244  11944  11540 S   0.0   0.3   0:00.18 wireplu+
    905 pi         9 -11  102628   5248   5120 S   0.0   0.1   0:00.01 pipewir+
    907 pi        20   0  580912  21048  19000 S   0.0   0.5   0:00.61 labwc
    921 pi        20   0    8612   3584   3328 S   0.0   0.1   0:00.05 dbus-da+
    930 rtkit     21   1   22792   2816   2560 S   0.0   0.1   0:00.18 rtkit-d+
    987 pi        20   0    7388   1316   1152 S   0.0   0.0   0:00.06 ssh-age+
   1050 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1051 pi        20   0  237632   5504   5504 S   0.0   0.1   0:00.00 xdg-per+
   1067 root      20   0  102248   5240   4992 S   0.0   0.1   0:00.08 python
   1086 pi        20   0    2328   1280   1280 S   0.0   0.0   0:00.00 lwrespa+
   1087 pi        20   0    2328   1280   1280 S   0.0   0.0   0:00.00 lwrespa+
   1088 pi        20   0    2492   1280   1280 S   0.0   0.0   0:00.00 kanshi
   1101 pi        20   0  340508  15104  13696 S   0.0   0.4   0:00.09 polkit-+
