Timestamp,CPU_Temp_C
2026-01-06T21:04:27,51.0
2026-01-06T21:04:37,49.9
2026-01-06T21:04:47,50.5
2026-01-06T21:04:57,49.4
2026-01-06T21:05:07,49.9
2026-01-06T21:05:19,49.4
2026-01-06T21:05:29,49.4
2026-01-06T21:05:39,48.8
2026-01-06T21:05:49,47.7
2026-01-06T21:05:59,47.7
2026-01-06T21:06:09,48.8
2026-01-06T21:06:19,47.7
2026-01-06T21:06:29,47.7
2026-01-06T21:06:39,49.9
2026-01-06T21:06:49,49.9
2026-01-06T21:06:59,48.3
2026-01-06T21:07:09,47.7
2026-01-06T21:07:19,47.7
2026-01-06T21:07:29,47.2
2026-01-06T21:07:39,48.3
2026-01-06T21:07:49,49.4
2026-01-06T21:07:59,49.4
2026-01-06T21:08:09,48.8
2026-01-06T21:08:19,48.3
2026-01-06T21:08:29,47.7
2026-01-06T21:08:39,48.8
2026-01-06T21:08:49,47.2
2026-01-06T21:08:59,49.9
2026-01-06T21:09:09,49.4
