[INFO] DETECTION_DISTANCE: class=40, score=12.000000, box=[-6.726070,137.211838,82.058060,312.089661], distance=0.672363m
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
[INFO] DETECTION_DISTANCE: class=0, score=0.000000, box=[0.000000,0.000000,0.000000,0.000000], distance=too_small
