produced_ts_epoch_ms,call_ts_epoch_ms,module,event,thread_id,cam_frame_id,cam_exposure_ms,cam_isp_latency_ms,cam_buffer_usage_percent,image_proc_ms,tpu_inference_ms,tpu_temp_c,tpu_model_score,tpu_class_id,logic_target_dist_m,logic_ballistic_drop_m,logic_windage_m,logic_servo_x_cmd,logic_servo_y_cmd,logic_solution_time_ms,enc_process_ms,enc_bitrate_mbps,enc_queue_depth,sys_cpu_temp_c,sys_cpu_usage_pct,sys_ram_usage_pct,sys_voltage_v
428,431,SystemMonitor,system_stats,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,26.3158,44.0666,0
626,629,CameraCapture,frame_captured,0,0,7,0.209014,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
656,659,CameraCapture,frame_captured,0,1,7,0.1723,0.666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
678,681,ImageProcessor_TPU,frame_processed,0,0,7,0.766214,0.666667,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
679,682,ImageProcessor_TPU,frame_processed,0,1,7,0.718352,1.33333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
692,695,CameraCapture,frame_captured,0,2,7,0.792636,1.66667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694,697,ImageProcessor_TPU,frame_processed,0,2,7,2.12928,2.33333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,711,InferenceEngine,inference_complete,0,0,NaN,NaN,NaN,13,29.028,0,0.949008,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,625,Logic,frame_complete,8627429228314481512,0,7,0.766214,0.666667,13,29,0,0.949008,12,2.72474,0.801772,-0.149004,0.5,0.5,32.778,0,0,0,43,26.3158,44.0666,0
710,713,ImageProcessor_Viz,frame_processed,0,0,7,0.352664,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
719,722,ImageProcessor_Viz,frame_processed,0,1,7,0.336961,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
729,731,CameraCapture,frame_captured,0,3,7,0.608788,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
730,732,ImageProcessor_TPU,frame_processed,0,3,7,1.22184,3.66667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
731,734,InferenceEngine,inference_complete,0,1,NaN,NaN,NaN,0,22.644,0,0.949008,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
731,655,Logic,frame_complete,8627429228314481512,1,7,0.718352,1.33333,0,22,0,0.949008,12,2.72474,-0.0232981,0,0.51739,0.406407,22.95,0,0,0,43,26.3158,44.0666,0
732,735,ImageProcessor_Viz,frame_processed,0,2,7,0.988438,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
741,743,ImageProcessor_Viz,frame_processed,0,3,7,0.372627,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,753,InferenceEngine,inference_complete,0,2,NaN,NaN,NaN,1,19.246,0,0.933322,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
751,692,Logic,frame_complete,8627429228314481512,2,7,2.12928,2.33333,1,20,0,0.933322,12,2.72474,-0.0255949,-0.000896975,0.516377,0.404497,19.481,0,0,0,43,26.3158,44.0666,0
756,759,CameraCapture,frame_captured,0,4,7,0.21922,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
758,760,ImageProcessor_TPU,frame_processed,0,4,7,0.866308,4.66667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
764,767,ImageProcessor_Viz,frame_processed,0,4,7,0.338813,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
770,773,InferenceEngine,inference_complete,0,3,NaN,NaN,NaN,0,19.607,0,0.949008,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
771,728,Logic,frame_complete,8627429228314481512,3,7,1.22184,3.66667,0,20,0,0.949008,12,2.72474,-0.0207323,0.00124671,0.517535,0.406682,19.826,0,0,0,43,26.3158,44.0666,0
789,792,InferenceEngine,inference_complete,0,4,NaN,NaN,NaN,1,18.219,0,0.941165,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
789,792,CameraCapture,frame_captured,0,5,7,0.294967,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
789,756,Logic,frame_complete,8627429228314481512,4,7,0.866308,4.66667,1,18,0,0.941165,12,2.72474,-0.0255514,-0.0014573,0.516312,0.405334,18.44,0,0,0,43,26.3158,44.0666,0
791,793,ImageProcessor_TPU,frame_processed,0,5,7,1.33052,5.66667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
798,800,ImageProcessor_Viz,frame_processed,0,5,7,0.332942,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
810,813,InferenceEngine,inference_complete,0,5,NaN,NaN,NaN,0,18.937,0,0.909793,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
810,789,Logic,frame_complete,8627429228314481512,5,7,1.33052,5.66667,0,19,0,0.909793,12,2.72474,-0.0216203,0.000594631,0.516551,0.406587,20.157,0,0,0,43,26.3158,44.0666,0
821,824,CameraCapture,frame_captured,0,6,7,0.238888,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
822,825,ImageProcessor_TPU,frame_processed,0,6,7,0.803051,6.66667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
830,833,ImageProcessor_Viz,frame_processed,0,6,7,0.349369,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
842,845,InferenceEngine,inference_complete,0,6,NaN,NaN,NaN,1,19.583,0,0.941165,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
842,820,Logic,frame_complete,8627429228314481512,6,7,0.803051,6.66667,1,19,0,0.941165,12,2.72474,-0.0239792,0.000301331,0.517425,0.406335,32.249,0,0,0,43,26.3158,44.0666,0
855,857,CameraCapture,frame_captured,0,7,7,0.163929,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
857,860,ImageProcessor_TPU,frame_processed,0,7,7,0.769869,7.66667,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
862,865,ImageProcessor_Viz,frame_processed,0,7,7,0.331646,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
876,879,InferenceEngine,inference_complete,0,7,NaN,NaN,NaN,2,18.666,0,0.921557,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
876,854,Logic,frame_complete,8627429228314481512,7,7,0.769869,7.66667,2,18,0,0.921557,12,2.72474,-0.024533,-0.00063695,0.516408,0.404611,33.929,0,0,0,43,26.3158,44.0666,0
888,891,CameraCapture,frame_captured,0,8,7,0.147006,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
889,892,ImageProcessor_TPU,frame_processed,0,8,7,0.715632,8.66667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
896,899,ImageProcessor_Viz,frame_processed,0,8,7,0.329516,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
908,911,InferenceEngine,inference_complete,0,8,NaN,NaN,NaN,1,18.777,0,0.941165,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
909,888,Logic,frame_complete,8627429228314481512,8,7,0.715632,8.66667,1,19,0,0.941165,13,2.72474,-0.0247572,-0.00063695,0.515653,0.403762,32.246,0,0,0,43,26.3158,44.0666,0
921,924,CameraCapture,frame_captured,0,9,7,0.175774,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
922,925,ImageProcessor_TPU,frame_processed,0,9,7,1.12677,9.66667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
929,932,ImageProcessor_Viz,frame_processed,0,9,7,0.443404,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
942,945,InferenceEngine,inference_complete,0,9,NaN,NaN,NaN,1,19.707,0,0.909793,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
943,920,Logic,frame_complete,8627429228314481512,9,7,1.12677,9.66667,1,20,0,0.909793,12,2.72474,-0.0226732,0.000211954,0.515598,0.405641,34.215,0,0,0,43,26.3158,44.0666,0
954,957,CameraCapture,frame_captured,0,10,7,0.150632,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
956,958,ImageProcessor_TPU,frame_processed,0,10,7,0.926794,10.6667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
962,965,ImageProcessor_Viz,frame_processed,0,10,7,0.334868,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
974,977,InferenceEngine,inference_complete,0,10,NaN,NaN,NaN,1,18.801,0,0.956851,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
975,953,Logic,frame_complete,8627429228314481512,10,7,0.926794,10.6667,1,19,0,0.956851,13,2.72474,-0.022433,0.000211954,0.515846,0.406556,31.711,0,0,0,43,26.3158,44.0666,0
988,990,CameraCapture,frame_captured,0,11,7,0.263228,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
989,992,ImageProcessor_TPU,frame_processed,0,11,7,0.84528,11.6667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
995,998,ImageProcessor_Viz,frame_processed,0,11,7,0.337943,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,1011,InferenceEngine,inference_complete,0,11,NaN,NaN,NaN,1,18.468,0,0.956851,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,987,Logic,frame_complete,8627429228314481512,11,7,0.84528,11.6667,1,18,0,0.956851,13,2.72474,-0.0219396,0.000211954,0.516351,0.408434,33.548,0,0,0,43,26.3158,44.0666,0
1021,1024,CameraCapture,frame_captured,0,12,7,0.235841,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,1026,ImageProcessor_TPU,frame_processed,0,12,7,1.37041,12.6667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1029,1032,ImageProcessor_Viz,frame_processed,0,12,7,0.345701,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1043,1045,InferenceEngine,inference_complete,0,12,NaN,NaN,NaN,1,19.274,0,0.941165,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1043,1021,Logic,frame_complete,8627429228314481512,12,7,1.37041,12.6667,1,19,0,0.941165,13,2.72474,-0.0211803,0.000211954,0.517125,0.411321,34.773,0,0,0,43,26.3158,44.0666,0
1054,1057,CameraCapture,frame_captured,0,13,7,0.232461,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1056,1058,ImageProcessor_TPU,frame_processed,0,13,7,1.20627,13.6667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1062,1065,ImageProcessor_Viz,frame_processed,0,13,7,0.342035,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1074,1077,InferenceEngine,inference_complete,0,13,NaN,NaN,NaN,0,18.637,0,0.921557,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1075,1054,Logic,frame_complete,8627429228314481512,13,7,1.20627,13.6667,0,19,0,0.921557,13,2.72474,-0.0201725,0.000211954,0.518143,0.415146,31.792,0,0,0,43,26.3158,44.0666,0
1087,1090,CameraCapture,frame_captured,0,14,7,0.144634,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1089,1091,ImageProcessor_TPU,frame_processed,0,14,7,0.735686,14.6667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1095,1098,ImageProcessor_Viz,frame_processed,0,14,7,0.340479,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1107,1110,InferenceEngine,inference_complete,0,14,NaN,NaN,NaN,0,18.719,0,0.682344,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1108,1087,Logic,frame_complete,8627429228314481512,14,7,0.735686,14.6667,0,19,0,0.682344,13,2.72474,-0.0189005,0.000211954,0.519415,0.419964,33.044,0,0,0,43,26.3158,44.0666,0
1121,1123,CameraCapture,frame_captured,0,15,7,0.138472,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
