produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,camera_frame_id,camera_width,camera_height,camera_exposure_ms,camera_copy_time_ms,tpu_inference_ms,tpu_input_w,tpu_input_h,tpu_temp_c,encoder_encode_ms,encoder_total_encoded_frames,encoder_average_fps,logic_metric_ballistics,logic_metric_hit_scan,logic_metric_servo_actuation,sysmon_cpu_temp_c,sysmon_cpu_usage_percent,sysmon_mem_usage_percent,p50_latency_ms,p95_latency_ms,p99_latency_ms,average_fps,total_frames_processed_or_inferences,average_latency_ms,details
1765570260075,InferenceEngine,4983896139603681267,inference_done,1765570259582,-1,-1,-1,-1,-1,7,300,300,34.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260123,InferenceEngine,4983896139603681267,inference_done,1765570259626,-1,-1,-1,-1,-1,7,300,300,33.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260172,InferenceEngine,4983896139603681267,inference_done,1765570259670,-1,-1,-1,-1,-1,7,300,300,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260211,InferenceEngine,4983896139603681267,inference_done,1765570259714,-1,-1,-1,-1,-1,8,300,300,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260260,InferenceEngine,4983896139603681267,inference_done,1765570259760,-1,-1,-1,-1,-1,7,300,300,33.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260299,InferenceEngine,4983896139603681267,inference_done,1765570259803,-1,-1,-1,-1,-1,8,300,300,34.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260337,InferenceEngine,4983896139603681267,inference_done,1765570259848,-1,-1,-1,-1,-1,7,300,300,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260386,InferenceEngine,4983896139603681267,inference_done,1765570259891,-1,-1,-1,-1,-1,8,300,300,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260434,InferenceEngine,4983896139603681267,inference_done,1765570259935,-1,-1,-1,-1,-1,7,300,300,34.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1765570260473,InferenceEngine,4983896139603681267,inference_done,1765570259979,-1,-1,-1,-1,-1,8,300,300,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
