produced_ts_epoch_ms,module,thread_id,event,call_ts_epoch_ms,custom_data
1765440679723,InferenceEngine,-740868546615640748,inference_done,54100904,{"inference_ms":6}
1765440679797,InferenceEngine,-740868546615640748,inference_done,54100971,{"inference_ms":13}
1765440679883,InferenceEngine,-740868546615640748,inference_done,54101038,{"inference_ms":9}
1765440679922,InferenceEngine,-740868546615640748,inference_done,54101105,{"inference_ms":7}
1765440679928,InferenceEngine,-9018811509794563686,PerformanceMetrics,0,{"p50_latency_ms":7.000,"p95_latency_ms":12.000,"p99_latency_ms":24.000,"average_fps":133.672,"std_dev_ms":2.628,"total_inferences":79}
1765440679992,InferenceEngine,-740868546615640748,inference_done,54101172,{"inference_ms":6}
1765440680050,InferenceEngine,-740868546615640748,inference_done,54101240,{"inference_ms":7}
1765440680128,InferenceEngine,-740868546615640748,inference_done,54101307,{"inference_ms":6}
1765440680186,InferenceEngine,-740868546615640748,inference_done,54101374,{"inference_ms":7}
1765440680259,InferenceEngine,-740868546615640748,inference_done,54101441,{"inference_ms":11}
1765440680333,InferenceEngine,-740868546615640748,inference_done,54101508,{"inference_ms":13}
1765440680395,InferenceEngine,-740868546615640748,inference_done,54101575,{"inference_ms":10}
1765440680454,InferenceEngine,-740868546615640748,inference_done,54101642,{"inference_ms":7}
1765440680522,InferenceEngine,-740868546615640748,inference_done,54101709,{"inference_ms":7}
1765440680597,InferenceEngine,-740868546615640748,inference_done,54101776,{"inference_ms":6}
1765440680656,InferenceEngine,-740868546615640748,inference_done,54101843,{"inference_ms":7}
1765440680724,InferenceEngine,-740868546615640748,inference_done,54101911,{"inference_ms":6}
1765440680792,InferenceEngine,-740868546615640748,inference_done,54101978,{"inference_ms":8}
1765440680863,InferenceEngine,-740868546615640748,inference_done,54102045,{"inference_ms":6}
1765440680923,InferenceEngine,-740868546615640748,inference_done,54102112,{"inference_ms":6}
1765440680991,InferenceEngine,-740868546615640748,inference_done,54102179,{"inference_ms":6}
1765440681059,InferenceEngine,-740868546615640748,inference_done,54102246,{"inference_ms":6}
1765440681131,InferenceEngine,-740868546615640748,inference_done,54102313,{"inference_ms":11}
1765440681199,InferenceEngine,-740868546615640748,inference_done,54102380,{"inference_ms":6}
1765440681266,InferenceEngine,-740868546615640748,inference_done,54102447,{"inference_ms":6}
1765440681326,InferenceEngine,-740868546615640748,inference_done,54102514,{"inference_ms":7}
1765440681395,InferenceEngine,-740868546615640748,inference_done,54102582,{"inference_ms":6}
1765440681464,InferenceEngine,-740868546615640748,inference_done,54102649,{"inference_ms":6}
1765440681536,InferenceEngine,-740868546615640748,inference_done,54102716,{"inference_ms":6}
1765440681597,InferenceEngine,-740868546615640748,inference_done,54102783,{"inference_ms":6}
1765440681662,InferenceEngine,-740868546615640748,inference_done,54102850,{"inference_ms":7}
1765440681730,InferenceEngine,-740868546615640748,inference_done,54102917,{"inference_ms":6}
1765440681798,InferenceEngine,-740868546615640748,inference_done,54102984,{"inference_ms":6}
